,varimax_satisf,varimax_cog,varimax_er,CAPE42,SDQ,ESPAD,AUDIT,ocdband,dcgena,depband,eatband,spphband,ptsdband
perm_id_1,-0.01516926459297696,-0.043001498604107485,-0.01718307078214565,0.06486966807665519,-0.07002529135740691,-0.0106904412471905,-0.024073863669927514,0.07443437021236252,0.04068501973874501,-0.042659179847253884,-0.0701013337582774,0.07685187703107503,0.009931440647352177
perm_id_2,-0.00857863441420462,0.022927164109330243,-0.015184104841756462,0.07622957204009333,0.05208644900276471,0.036623939584051766,0.03379600174344353,0.023050266864393907,0.02164461346937505,0.006196651756958979,0.014569485638362035,-0.007893323114530436,0.10605569275197935
perm_id_3,-0.06951646545313825,-0.04541822536407064,-0.04531425530328485,-0.012002711985299223,0.02210800918144576,0.09390458361590225,-0.002278061977699233,0.03839017277463874,-0.008922010387890051,0.0028855062024062193,0.009956232622541509,0.029598064878890416,-0.05351789463466421
perm_id_4,0.0026544750537096234,0.048059618126173126,0.07418120007913041,-0.03294809995491793,0.032578478963658335,0.029309440012169195,-0.012783593239589327,0.054210728239463456,0.04161852204315963,-0.009774207263529395,-0.02936775294200091,0.06413483600795108,-0.01822575328787271
perm_id_5,-0.021618898982329073,-0.10194167364446817,-0.04666671858787501,0.003839868996000973,0.012331475950698787,0.03825121039624816,0.028570823694737082,0.20640578330930615,0.006533992765366883,-0.00897516583953056,-0.026295424686117886,0.09485756546729598,0.030290625275005652
perm_id_6,0.00668068380160246,-0.014969683184792809,-0.04939682966510248,0.013535531889003385,0.028430593745409728,0.08204275919952697,-0.020400776652788995,-0.04351599633882599,0.026414103500866988,0.07828529115303934,0.019458154777222656,-0.0343364533279013,-0.03761816494052649
perm_id_7,-0.08386113346826991,-0.03424236353109378,-0.011950204650277563,0.05569053839747993,0.009461040863851494,-0.0026832608417890393,0.028524978240868765,0.06444341427874763,0.09607476366311105,0.0888795047836933,0.052288929193054896,0.09268442623137275,0.028670490236100004
perm_id_8,0.05897337146353024,-0.005367764365777732,0.008531601418492742,0.036230092067977636,-0.015020749203273702,0.08877347519376756,0.120907671909393,-0.010637072617153622,0.03556724802518573,0.0118023264697276,0.06655405191601593,-0.03709085962046365,0.0646312434681549
perm_id_9,-0.08245384297647378,-0.0729389062502618,-0.06270272474425287,0.11509484493966234,-0.02717504115442684,-0.03151376347887188,0.007268431174172674,0.007751344168520334,0.09085015779314237,-0.04773431975367367,0.17776930398833352,-0.007516772349326895,0.010713779428488404
perm_id_10,0.032175116463938426,-0.053572638540754156,-0.0031864429881941565,0.03180984594173874,-0.08533203508080653,0.03143789534975079,-0.022282099001959578,0.005059188574089116,0.0038651365155244408,-0.06789782249761442,-0.0268972972498831,0.007518512408227707,0.03026165655132502
perm_id_11,0.053918746735395665,-0.011552555456744409,-0.02766972622232525,-0.0032283875364817055,0.009770860789694913,0.05019174313358309,0.020250701890144968,-0.04408081329759204,-0.01801720024838777,0.12044007721328825,0.06788583075971251,0.014859294600522292,0.002870430367711874
perm_id_12,-0.013228711977841725,0.022832905007963727,0.02086021842348557,-0.05128649536391637,-0.004921238292118731,-0.03435647268154708,0.039547223070356095,-0.0017426543628055783,-0.011417010752385708,0.026415572447028215,0.12607135475257425,0.053078988765736745,0.08557646354302773
perm_id_13,0.014843280428083814,-0.014654373082290739,-0.049699311829576355,0.02886273591408948,-0.03066053317095815,0.11633621388239539,0.0009496251401843997,-0.012746650178474393,0.02215965034983684,0.03181381421971109,-0.001481537589184766,0.02606302229710824,0.030661357265188333
perm_id_14,0.08616381003103996,0.010047961195154106,-0.007056428399231511,-0.00018947162922486462,0.029783683547356877,-0.025532226570049766,-0.051576912260437535,0.046444862672543,0.05596455562369541,0.11873225092067048,0.003984773537026798,0.021931581027128118,0.047046548224353835
perm_id_15,0.03242668576624483,0.019298169007853958,-0.033970214371216875,-0.018737458878825407,-0.0008889249087609456,-0.0113047894009243,0.01059719897303281,-0.001193221169544469,-0.0064990403782321056,0.06161126501347056,0.029295844978668505,-0.009972768161944943,0.051279551117784504
perm_id_16,0.06760337523889519,-0.003313958305335977,0.05799193175661475,-0.006900921359827474,0.00801712512309946,-0.006736979611189083,0.025937687214129337,0.017616547130030167,0.04655328416890283,0.008206072090263123,0.008546794061583736,0.017867157680192435,-0.0034142475641611666
perm_id_17,0.03197657213974658,0.01183433369129307,-0.05739386033528647,-0.04979096213871942,0.07247386735540949,-0.03482950226158976,0.10142931488855096,0.047283977107874686,-0.010339445849700025,0.006745912607050024,0.025334077081274418,0.021972699325006857,-0.01667750510867047
perm_id_18,-0.03128519198054614,-0.012326396655784784,-0.05910202035187171,0.03053352759317195,0.05412560740324814,0.046300740103030154,0.09840325074306785,0.044655469979044064,0.027848868430398577,-0.043171386982557805,0.03426510144930657,-0.03137050472530599,0.04723100256059744
perm_id_19,0.022882569371720694,-0.030882989287711177,-0.05814424773324094,-0.008556717730003658,0.011623889068548906,-0.023028720696891727,-0.05455039783725626,-0.0002633850789139865,0.03183680030795075,0.00251115784032108,0.045680059620876554,0.004913470624287172,-0.024510549091347613
